SentimentDevice,SalesDevice
LENOVO IDEACENTRE AIO 23,LENOVO W
LENOVO IDEACENTRE 520 AIO 21,LENOVO W
LENOVO M460 DESKTOP,LENOVO W
LENOVO THINKSTATION P360 DESKTOP,LENOVO W
LENOVO IDEACENTRE A540 27,LENOVO W
LENOVO E4 15 ,LENOVO V SERIES V110 15
LENOVO CO42F2 DESKTOP,LENOVO W
LENOVO THINKCENTER E77S DESKTOP,LENOVO W
LENOVO IDEACENTER P780 DESKTOP,LENOVO W
LENOVO IDEACENTER A340 AIO 21.5,LENOVO W
LENOVO AIO 330 19,LENOVO W
LENOVO IDEACENTRE G5 GAMING DESKTOP,LENOVO W
LENOVO IDEACENTER AIO 23.8,LENOVO W
LENOVO THINKSERVER T100 DESKTOP,LENOVO W
LENOVO TS90X DESKTOP,LENOVO W
LENOVO COOL 300 DESKTOP ,LENOVO W
LENOVO M4000 DESKTOP,LENOVO W
LENOVO IDEACENTER3I DESKTOP,LENOVO W
LENOVO AIO 520 23,LENOVO W
LENOVO THINKSERVER T110C DESKTOP,LENOVO W
LENOVO IDEACENTRE 310S,LENOVO W
LENOVO IDEACENTER 3 DESKTOP,LENOVO W
LENOVO IDEACENTER 3I AIO ,LENOVO W
LENOVO IDEACENTER 510A DESKTOP,LENOVO W
LENOVO 512  15,LENOVO W
LENOVO GAMING LAPTOP 15,LENOVO W
LENOVO IDEACENTER 510S AIO 23,LENOVO W
LENOVO S-CLASS 15,LENOVO W
LENOVO 512 15,LENOVO W
LENOVO 512  17,LENOVO W
LENOVO SLIMPRO 9I 14,LENOVO W
LENOVO IDEACENTRE MINI DESKTOP,LENOVO W
LENOVO V50T DESKTOP,LENOVO W
LENOVO 7000 15,LENOVO W
LENOVO LAPTOP 15 ,LENOVO W
LENOVO AIR 14,LENOVO W
LENOVO IDEACENTER S660 DESKTOP,LENOVO W
LENOVO TAB B10 3,LENOVO W
LENOVO TAB M9  ,LENOVO W
LENOVO TAB P12 12,LENOVO W
